,RA,DEC,FeH,dFeH
0,56.09995226627952,-43.54543260258557,-2.545420232771595,0.10316475313120343
1,56.11481553428063,-43.52685017054299,-1.9984868972171657,0.08060880578535734
2,56.12384532004125,-43.529982781970006,-3.2426221787827743,0.15228357105200963
3,56.11105558335936,-43.52301248038145,-2.1860255123556818,0.15145346560749906
4,56.08660959248933,-43.541010601050345,-2.5150804912339386,0.15824957677023477
5,56.08897952832117,-43.505810209020396,-1.6316824770528888,0.15708116040218634
6,56.084218543667745,-43.536362619495705,-2.325847039659218,0.158127128675553
7,56.06097899622737,-43.52633789618265,-2.191177283006009,0.12302524687994931
8,56.1106030196702,-43.545526463825034,-2.167261854051945,0.11232681187063243
9,56.07578784283451,-43.51999353065304,-2.669243551737046,0.19769096405716557
10,56.124671731082046,-43.54148415164647,-2.2545439599089,0.12841591686585296
11,56.09613862916376,-43.52345288282734,-3.650755203766281,0.75
12,56.085978453659706,-43.552249648392156,-3.3091003072412453,0.3398299714255615
13,56.07677129207283,-43.55096117900131,-2.0846460708754124,0.1846190952519065
14,56.070419633588884,-43.542809839239474,-2.693861556119433,0.2205195408548386
15,56.065779847894106,-43.542953939410076,-2.38816365955762,0.23888709186296686
16,56.08128776479497,-43.55030200966667,-2.43977991495992,0.23221348675442743
17,56.08407573753824,-43.509972118996714,-2.6890999127326345,0.22621535023374673
18,56.11463897895045,-43.54801280591307,-2.1844057929055714,0.12956926453499817
19,56.07861208014594,-43.541730317910144,-2.834123274462037,0.40043851610671966
20,56.11414714759275,-43.54755401534575,-2.6270987237207115,0.18028713321112688
21,56.0763720782385,-43.53897757843397,-3.660521193236957,0.75
22,56.10017419285289,-43.53942789840527,-3.180009777390672,0.38682911820999943
23,56.0948910709254,-43.544574256961965,-2.348017312404981,0.2449690330687242
24,56.08373440671956,-43.54937663135178,-2.536639450755389,0.4028255647229684
25,56.07892713821429,-43.52582029058009,-2.6607743234920878,0.3820616531184253
26,56.09458952042771,-43.50749356756177,-1.5923999716887705,0.24623391043450685
27,56.090841324248,-43.50566047014101,-1.9331734912907468,0.2748629715408146
28,56.11172906532553,-43.52712838903807,-2.4025688247122767,0.47074975582140755
29,56.10806697595086,-43.53627254096552,-2.3930122872250115,0.33527730711530435
30,56.09227375240757,-43.52335467265471,-2.8812110768951786,0.4715067749993016
31,56.12277967602656,-43.536178992491905,-2.9081929283679187,0.4171323353599754
32,56.08300671497215,-43.52886275786257,-3.405671631723963,0.75
33,56.09625447641015,-43.559127067169285,-1.8029994763663464,0.20930603334955045
34,56.104227777072744,-43.52567778422542,-2.8651783707851464,0.5101923424829022
35,56.06941469836682,-43.52877965570895,-2.3322970673461816,0.3105489034165232
36,56.08063286835954,-43.5172541402576,-2.505114192303232,0.38906137279183484
37,56.062636936354295,-43.542502335860604,-2.9920252389734614,0.5623089243180184
38,56.07343651682664,-43.53672763155119,-2.182232922050916,0.4069182590735234
39,56.07086797704058,-43.53055367229332,-2.6599303532002336,0.4726059610925448
40,56.071883020209924,-43.53692086795857,-2.160402772149559,0.2768944236981591
41,56.05765337395145,-43.526705623596726,-2.1888016401553707,0.26935630287258405
42,56.07524305679205,-43.52644122762412,-2.6517072868206673,0.3897898025308626
43,56.11102779517995,-43.55081626780815,-2.116110907574888,0.23481341214366247
44,56.091053776993846,-43.539412324893206,-2.326875525915985,0.4305117380175909
45,56.10677896927412,-43.54769814901996,-1.9702740725217869,0.3616365242892934
46,56.078586224356,-43.51662115952549,-3.275695289322788,0.44844558512767807
47,56.114087324796216,-43.54579432690978,-3.296416757173218,0.4416948171048094
48,56.081518299752034,-43.532500368962936,-2.8351030141866733,0.5848000947996834
49,56.0867686714578,-43.526975652997685,-3.293301500344004,0.4791216727666099
50,56.06697660443205,-43.53438248985247,-3.1548621874000347,0.5303770335918081
51,56.098140506898616,-43.544777978379116,-1.7640831085164843,0.3550405018118643
52,56.12946799092911,-43.53420167834676,-2.8634856692073924,0.6118016324452873
53,56.124702288242815,-43.532068400152006,-2.3039999214909703,0.3761733638305945
54,56.06552078200245,-43.532199598930006,-2.0294128706062238,0.4451524638112816
55,56.10221691277772,-43.51683213113068,-3.3223298962800265,0.75
56,56.07828732276805,-43.51428262398422,-3.41172682601172,0.75
57,56.11030561552244,-43.543658655555646,-2.5872172049357456,0.6432583868725654
58,56.113457745357685,-43.54090978655579,-1.6180941837557954,0.36289885154749235
59,56.116586151903284,-43.54202210473501,-3.280517895547674,0.75
